component_id,scoring_weight
7,1
7,1
111,1
153,1
7,1
1956,1
7,1
9,1
9,1
20,1
20,1
119,1
149,1
149,1
53,1
53,1
49,1
258,1
149,1
507,0.25
1617,0.25
498,1
1961,0.25
498,1
1964,0.25
1964,0.25
1964,0.25
1964,0.25
1964,0.25
1616,0.25
1556,0.25
350,0.25
352,0.25
1966,0.25
1617,0.25
1964,0.25
370,0.25
111,1
1451,0.25
498,1
1556,0.25
1551,0.25
1551,0.25
1551,0.25
153,1
791,0.25
278,0.25
381,0.25
1459,0.25
161,1
1404,1
1401,0.25
1890,0.25
1780,0.25
1899,0.25
111,1
1703,0.25
7,1
1703,0.25
353,0.25
1703,0.25
258,1
475,1
1766,0.25
1891,0.25
1971,0.25
1506,0.25
1605,0.25
294,0.25
350,0.25
160,1
381,0.25
1596,0.25
1332,0.25
440,1
2273,1
1964,0.25
1964,0.25
1767,0.25
49,1
1551,0.25
539,1
111,1
507,0.25
1344,0.25
1461,0.25
867,0.25
149,1
475,1
475,1
1836,0.25
1403,1
1964,0.25
1964,0.25
1964,0.25
1964,0.25
1964,0.25
1964,0.25
475,1
1766,0.25
1964,0.25
1964,0.25
1612,0.25
1964,0.25
1964,0.25
1964,0.25
1964,0.25
1964,0.25
1964,0.25
1654,0.25
475,1
1964,0.25
122,1
1523,0.25
1676,0.25
1332,0.25
1767,0.25
1555,0.25
768,1
498,1
2273,1
2273,1
1790,0.25
1790,0.25
1359,0.25
1359,0.25
375,0.25
1359,0.25
1964,0.25
1964,0.25
1551,0.25
1820,0.25
7,1
1819,0.25
1617,0.25
1884,0.25
31,1
1403,1
1404,1
1598,0.25
2066,0.25
1598,0.25
1598,0.25
1357,1
186,1
1963,0.25
111,1
200,1
225,0.25
1401,0.25
1601,0.25
1596,0.25
1616,0.25
2066,0.25
761,0.25
460,0.25
1821,0.25
39,1
39,1
111,1
1610,0.25
1556,0.25
1359,0.25
761,0.25
768,1
1941,0.25
460,0.25
1676,0.25
1445,1
1559,0.25
1679,0.25
1359,0.25
1405,1
39,1
768,1
1359,0.25
1985,0.25
1521,0.25
1359,0.25
1445,1
1359,0.25
279,0.25
1887,0.25
1605,0.25
752,0.25
1335,0.25
1630,1
1359,0.25
1335,0.25
2165,1
1335,0.25
1344,0.25
111,1
2039,0.25
1820,0.25
1496,0.25
1902,0.25
1823,0.25
1787,0.25
1596,0.25
1819,0.25
1876,0.25
1957,0.25
1335,0.25
1559,0.25
153,1
1831,1
1349,0.25
1964,0.25
1964,0.25
1964,0.25
1964,0.25
1964,0.25
1964,0.25
1964,0.25
1808,0.25
1605,0.25
7,1
149,1
2039,0.25
791,0.25
1964,0.25
1401,0.25
1964,0.25
1116,0.25
275,0.25
1482,0.25
1808,0.25
1410,0.25
498,1
1948,0.25
1808,0.25
62,0.25
1332,0.25
111,1
1808,0.25
134,1
1687,0.25
6,1
1483,0.25
1605,0.25
1601,0.25
1787,0.25
762,0.25
1177,0.25
1419,0.25
1683,0.25
1787,0.25
1410,0.25
1942,0.25
1944,0.25
7,1
1334,0.25
1401,0.25
277,0.25
498,1
1964,0.25
1964,0.25
1964,0.25
279,0.25
1333,0.25
353,0.25
1687,0.25
1426,0.25
1116,0.25
278,0.25
2039,0.25
1601,0.25
279,0.25
1964,0.25
1319,0.25
1637,0.25
2039,0.25
225,0.25
2039,0.25
1964,0.25
1844,0.25
279,0.25
1551,0.25
1445,1
1830,1
1611,0.25
1551,0.25
446,0.25
1964,0.25
498,1
1349,0.25
1964,0.25
747,0.25
1964,0.25
1964,0.25
1676,0.25
1557,0.25
7,1
1598,0.25
483,1
1964,0.25
1682,0.25
1605,0.25
111,1
1615,0.25
111,1
1401,0.25
867,0.25
1605,0.25
1584,0.25
1964,0.25
1464,0.25
887,0.25
1830,1
1462,0.25
1405,1
1819,0.25
1523,0.25
1836,0.25
1106,0.25
1146,0.25
1410,0.25
1410,0.25
1681,0.25
1597,0.25
1610,0.25
724,0.25
161,1
1943,0.25
654,0.25
1610,0.25
1445,1
1483,0.25
1610,0.25
654,0.25
111,1
111,1
1941,0.25
1703,0.25
1061,0.25
1611,0.25
1836,0.25
1337,0.25
1839,0.25
2066,0.25
1337,0.25
1683,0.25
1687,0.25
507,0.25
1762,0.25
1839,0.25
1462,0.25
278,0.25
1410,0.25
1410,0.25
1410,0.25
1410,0.25
1410,0.25
1410,0.25
1964,0.25
1964,0.25
279,0.25
1061,0.25
279,0.25
1839,0.25
1291,0.25
1446,1
111,1
1964,0.25
1117,0.25
1964,0.25
1106,0.25
498,1
1404,1
2007,0.25
1736,0.25
1319,0.25
1344,0.25
2007,0.25
1349,0.25
768,1
295,0.25
1260,0.25
1260,0.25
1319,0.25
1460,0.25
1459,0.25
1597,0.25
1941,0.25
1964,0.25
2063,0.25
654,0.25
1964,0.25
1964,0.25
1964,0.25
1830,1
1964,0.25
1964,0.25
1964,0.25
1964,0.25
1964,0.25
1964,0.25
1964,0.25
1521,0.25
1964,0.25
1964,0.25
1596,0.25
498,1
1941,0.25
498,1
1926,1
1687,0.25
890,0.25
1463,0.25
1426,0.25
1683,0.25
507,0.25
1643,0.25
1252,0.25
1827,0.25
1601,0.25
2048,0.25
1985,0.25
1762,0.25
1618,0.25
507,0.25
654,0.25
1252,0.25
1964,0.25
1616,0.25
1685,0.25
53,1
1926,1
1383,1
138,0.25
1687,0.25
1319,0.25
279,0.25
1679,0.25
1349,0.25
1403,1
654,0.25
1458,0.25
1629,1
117,1
1964,0.25
1629,1
475,1
486,0.25
1964,0.25
475,1
1611,0.25
45,0.25
1963,0.25
1420,1
2040,0.25
2040,0.25
1404,1
1964,0.25
1598,0.25
1827,0.25
1598,0.25
1319,0.25
2040,0.25
1319,0.25
1446,1
1319,0.25
1964,0.25
1597,0.25
1417,0.25
2040,0.25
1462,0.25
1417,0.25
654,0.25
654,0.25
1146,0.25
1836,0.25
1507,1
2040,0.25
1403,1
1346,0.25
1249,0.25
1942,0.25
117,1
654,0.25
258,1
1461,0.25
723,0.25
226,0.25
556,0.25
1404,1
169,0.25
475,1
1610,0.25
1462,0.25
888,1
6,1
111,1
1551,0.25
745,0.25
1551,0.25
1921,0.25
1359,0.25
1346,0.25
1598,0.25
7,1
1956,1
2040,0.25
654,0.25
117,1
172,0.25
475,1
2040,0.25
1964,0.25
1964,0.25
138,0.25
1964,0.25
1964,0.25
1964,0.25
1964,0.25
1988,0.25
1306,0.25
1836,0.25
1836,0.25
1106,0.25
53,1
198,0.25
1106,0.25
1683,0.25
2040,0.25
1462,0.25
347,0.25
448,0.25
1935,0.25
1346,0.25
1598,0.25
50,0.25
353,0.25
564,0.25
1554,0.25
50,0.25
539,1
1086,0.25
1601,0.25
169,0.25
111,1
347,0.25
687,0.25
204,1
1119,0.25
1687,0.25
278,0.25
278,0.25
198,0.25
460,0.25
1604,0.25
1334,0.25
556,0.25
448,0.25
498,1
803,0.25
1742,0.25
1332,0.25
275,0.25
1604,0.25
1604,0.25
507,0.25
1990,0.25
624,0.25
315,1
1604,0.25
1935,0.25
373,0.25
1604,0.25
276,0.25
1453,0.25
1604,0.25
1529,0.25
1646,1
1964,0.25
1964,0.25
1557,0.25
2164,0.25
1557,0.25
7,1
1942,0.25
1557,0.25
2273,1
279,0.25
539,1
279,0.25
279,0.25
1551,0.25
761,0.25
1966,0.25
1344,0.25
1601,0.25
471,1
1966,0.25
1767,0.25
1830,1
460,0.25
1615,0.25
1410,0.25
1964,0.25
1242,0.25
1829,0.25
1242,0.25
1767,0.25
475,1
1944,0.25
507,0.25
1930,0.25
498,1
1605,0.25
1349,0.25
1334,0.25
1964,0.25
539,1
1617,0.25
1410,0.25
1964,0.25
1610,0.25
1410,0.25
278,0.25
1964,0.25
1335,0.25
278,0.25
1252,0.25
1347,0.25
465,0.25
1964,0.25
1596,0.25
1426,0.25
225,0.25
1597,0.25
1555,0.25
1966,0.25
1617,0.25
1319,0.25
1555,0.25
1964,0.25
1359,0.25
1618,0.25
279,0.25
2038,0.25
378,0.25
1676,0.25
1676,0.25
204,1
1941,0.25
1551,0.25
1612,0.25
186,1
1556,0.25
507,0.25
1335,0.25
1555,0.25
1605,0.25
1601,0.25
2063,0.25
6,1
1602,0.25
1551,0.25
1597,0.25
111,1
1603,0.25
1605,0.25
153,1
1604,0.25
1557,0.25
1333,0.25
1551,0.25
1615,0.25
1607,0.25
1597,0.25
1608,0.25
1915,0.25
1359,0.25
1596,0.25
1610,0.25
3,0.25
1347,0.25
1551,0.25
1460,0.25
1971,0.25
1349,0.25
1597,0.25
1611,0.25
1920,0.25
1551,0.25
1551,0.25
1551,0.25
1551,0.25
1551,0.25
1551,0.25
1401,0.25
1642,0.25
1334,0.25
1612,0.25
1556,0.25
1555,0.25
1602,0.25
1603,0.25
1605,0.25
1551,0.25
1604,0.25
1557,0.25
1606,0.25
1615,0.25
1607,0.25
1618,0.25
1767,0.25
1966,0.25
1597,0.25
1608,0.25
850,0.25
1915,0.25
1610,0.25
1597,0.25
1611,0.25
1598,0.25
1551,0.25
1884,0.25
1482,0.25
1319,0.25
134,1
7,1
7,1
539,1
1836,0.25
1930,0.25
1786,0.25
1605,0.25
762,0.25
870,0.25
1722,0.25
53,1
7,1
122,1
7,1
161,1
111,1
372,0.25
1616,0.25
1445,1
1822,0.25
1602,0.25
1557,0.25
1603,0.25
1604,0.25
1610,0.25
1605,0.25
1615,0.25
1550,0.25
1839,0.25
890,0.25
1615,0.25
1402,0.25
1964,0.25
1822,0.25
1598,0.25
1453,0.25
483,1
1426,0.25
762,0.25
2040,0.25
1107,0.25
890,0.25
1463,0.25
51,0.25
161,1
901,0.25
1964,0.25
909,0.25
36,1
1767,0.25
1463,0.25
999,0.25
1252,0.25
851,0.25
53,1
279,0.25
1957,0.25
1830,1
1453,0.25
2113,0.25
1596,0.25
1332,0.25
723,0.25
117,1
498,1
539,1
1403,1
539,1
1405,1
1743,1
539,1
1349,0.25
1596,0.25
279,0.25
349,0.25
888,1
1260,0.25
791,0.25
1941,0.25
2038,0.25
1445,1
507,0.25
1453,0.25
1401,0.25
1767,0.25
1819,0.25
1679,0.25
601,0.25
1401,0.25
