name,description,product_id,id,isactive,scoring_weight
Build Config,"For bugs that result from SeaMonkey build problems. (""Building"" is the process of converting the thousands of Mozilla source code files into a actual executable software.) If a file in a newly-downloaded build is missing or corrupted, file the bug in this component.

Examples of appropriate bugs: Build date in browser window is incorrect; DLL files are missing from the ZIP file; or Build contains a zero K executable.",25,3,1,0.25
GFX,"Cross platform rendering interfaces and cross platform base implementations. Bugs that belong in this component are cross-platform problems with painting, such as fonts getting cropped or underlines not getting correctly removed with dynamic effects. Bugs like this that only occur on one platform belong in the appropriate component listed below.",49,4,1,0.25
Networking: Cookies,A general mechanism which server side connections (such as CGI scripts) can use to both store and retrieve information on the client side of the connection. This refers to HTML cookies; little blobs of data we store and share with sites,1,5,1,1
DOM: Core & HTML,"This component includes all functionality related to JavaScript manipulation of window, document and navigator objects that are available in Navigator 4.x and earlier, and that was never <a href='http://www.w3.org/TR/REC-DOM-Level-1/'>defined by the W3C</a>.",1,6,1,1
DOM,"For bugs in <a href=""http://www.w3.org/DOM/"" title=""Document Object Model"">DOM</a> support which do not fit into any other DOM Component. This is the right component for issues with <strong>&lt;base href=""""&gt;</strong> and <strong>xml:base</strong>. (<a href=""https://developer.mozilla.org/en-US/docs/Hacking_Mozilla_DOM"">More info</a>)",1,7,1,1
Editor,"For bugs in plaintext or HTML editing support in Gecko.  This covers the editing support behind things such as 	&#60;input type=text&#62;, &#60;textarea&#62;, contenteditable/designMode, and XUL textboxes.

Examples of appropriate bugs: After inserting a image, selecting Undo crashes Firefox; After deleting a word, the caret disappears.",1,9,1,1
Composer,"For bugs in the Composer application, the high-level application that is used to create HTML documents. Appropriate bugs include those not belonging to the core editor engine, including an inability to launch the composer application and problems in the general user interface of the composer application or toolbar, such as incorrectly behaving toolbar buttons and menu items, and incorrect dialog behavior. Please see the bug description for Editor: Core for more information.",25,10,1,0.25
Embedding: APIs,"The embedding API is the set of functions that an external application uses to host an instance of the layout engine within itself.  The embedded layout engine provides services for rendering web content (HTML, XML, CSS, etc).",1,11,1,1
Addressbook/LDAP (non-UI),Issues with the Grendel Address Book that does <strong>NOT</strong> include user interface issues. Those should go under <em>Grendel: User Interface</em>.,5,12,1,0.25
Event Handling,"Any strangeness with keyboard typing, mouse actions, focus changes.",1,13,1,1
HTML: Form Submission,"This component is for bugs with HTML form submission. For example, ""hidden controls don't get submitted to the server"".",1,14,1,1
Layout: HTML Frames,"For rendering and layout issues with frames (&lt;iframe&gt;, &lt;frame&gt; and &lt;frameset&gt; elements in HTML).",1,15,1,1
Layout: Tables,For bugs in the CSS and HTML table layout and rendering code. For example bugs with the HTML 'rules' attribute or the CSS 'border-collapse' property belong here.,1,16,1,1
Image Blocking,For bugs about (un)blocking images from servers.,1,18,1,1
ImageLib,"ImageLib decodes GIF, JPEG and PNG images, and provides the decoded data to the Compositor for display. If Firefox or Seamonkey can display an image when loaded separately from the page, ImageLib is working, and the actual imaging bug exists elsewhere within Firefox or Seamonkey.<br>
<br>
Examples of appropriate bugs: PNG gAMA chunk ignored; Crashes on GIF w/corrupted frame(merr-01.gif); or PNGs and JPEGs aren't displayed on FreeBSD.",1,19,1,1
Internationalization,"Internationalization is the process of designing and developing a software product to function in multiple locales. This process involves identifying the locales that must be supported, designing features which support those locales, and writing the code needed.",1,20,1,1
Venkman JS Debugger,"Bugs, problems, enhancements for the Venkman JavaScript Debugger tool.",28,22,1,0.25
Layout,"For triage, reduction, and reassignment to other layout components.",1,23,1,0.0
Localization,"Localization is the process of adapting software for a specific international market; this process includes translating the user interface, resizing dialog boxes, replacing icons and other culturally sensitive graphics (if necessary) as well as customizing features.",1,25,1,1
Protocols,"Grendel protocol issues (like problems using SMTP, NTTP, POP3, or other protocols Grendel supports) should be filed here. Problems include issues downloading from a certain protocol or protocol specific issues.",5,26,1,0.25
Layout: View Rendering,"Painting problems. If the object is in the right place, but  doesn't paint correctly, it's a view system bug. If it paints OK, but in the wrong place, then it belongs in another Layout component. Bugs with the 'opacity', 'z-index', 'overflow', and 'clip' properties usually belong in this component. (In terms of code, this covers the view/ and gfx/src/nsBlender* directories.)",1,28,1,1
HTML: Parser,"This system consumes content  from the web, parses, validates and builds a content model (document)",1,30,1,1
Plug-ins,"Bugs in core Mozilla code that supports registering and using plug-ins. For bugs in specific plugins, please file those bugs under External Software Affecting Firefox.",1,31,1,1
Serializers,"Bugs involving conversion to html or plaintext, either during saving or during copy/paste. This component is NOT for general copy/paste bugs, for bugs involving save dialogs or writing to files when saving, or for I18n-related bugs; only for problems with the actual text which is saved.",1,32,1,1
Profile: Migration,Problems with conversion of profiles from previous versions.,49,33,1,0.25
RDF,"Resource Description Framework: Core RDF components, including the in-memory datasource, composite datasource, RDF/XML parser, and RDF resource manager.",1,34,1,1
Libraries,"Libraries for client support of SSL v2 and v3, TLS, PKCS #5,
PKCS #7, PKCS #11, PKCS #12, S/MIME, X.509 v3 certificates,
and other security standards",16,35,1,0.25
Layout: Form Controls,"For problems with HTML Form Elements: buttons, images, edit fields, passwords, file controls, submit buttons, selects, and textareas.  NOT for file upload dialog problems, those belong in XP Toolkit/Widgets.",1,36,1,1
Installer: XPInstall Engine,"For bugs in the underlying cross-platform installation technology. If you encounter an installation failure via a web page, it probably belongs here. Content developers should also report failures of the XPInstall API to this component.<BR><BR>

Examples of appropriate bugs: Installer not installing all files; FinalizeInstall() doesn't check or return error codes; or Text from XPInstall confirmation dialog needs revision.",49,37,1,0.25
Passwords & Permissions,"Only problems with the UI for Password Manager, PopUp/Image blocking, Cookies and Wallet should go into this component. Backend code for most of those is shared, you should use the ""Core"" product for bugs regarding those backends.",25,38,1,0.25
CSS Parsing and Computation,"Bugs in the handling of CSS stylesheets and the computation of style from CSS stylesheets and HTML attributes.
<p>For bugs in the rendering, see the Layout components.</p>",1,39,1,1
MozillaTranslator,"<a href=""http://www.mozillatranslator.org/"">MozillaTranslator</a> is a Java based GUI tool, for helping with localizing Mozilla and Phoenix.",112,40,0,0.25
Preferences,"Preference Panels; default preferences; etc. For bugs that affect the Preferences window's user interface generally like ""no scrollbar in category pane"" use this component. Do not use this component for bugs in the content of specific preferences panes like ""typo in Navigator pref pane"" or ""radio buttons on Composer pref pane appear uninitialized"". Instead, file these sorts of bugs directly to the relevant component: use ""Composer"" in the last example.",25,41,1,0.25
Viewer App,This is the viewer test app. utilized by Gecko engineers to test the layout engine.,49,42,1,0.25
General,"A ""catch all"" component for problems found when using the SeaMonkey suite which do not fall into one of the current components. Example: launch/exit crashes, features missing, etc.
PLEASE NOTE!! Try to find a component which is specific to your bug first - BEFORE assigning to this component!",25,43,1,0.25
XML,"For bugs in our XML handling. For example, parser errors, or errors in wellformedness error reporting.",1,44,1,1
Embedding: GRE Core,"Gecko Runtime Environment is the minimum set of files which are
required for running applications written to embed the Gecko browsing engine. It
contains the core xpcom libraries, nspr library, a set of key XPCOM components
and other supporting files.",49,45,1,0.25
Installer: GRE,"Installer that is called by client products' installers requiring
GRE.  Manages issues related to installing GRE as a shared set of files.",49,46,1,0.25
Installer: MFCEmbed,"The MFCEmbed installer installs MFCEmbed files and calls the GRE
installer. In addition to providing a testable MFCEmbed, it serves as a test
case for the GRE installer in its role as a client of other installers.",49,47,1,0.25
XUL,"<p>For bugs in the <A HREF=""http://www.mozilla.org/xpfe/xptoolkit/xulintro.html"">XUL
language</A>. (XUL is an XML-based language which specifies Mozilla's user interface.)</p>

<p>If you're not actually writing XUL code, this is probably not the right place for your bug.</p>

<p>Examples of appropriate bugs: Duplicate window ID causes infinite loop; or Scrollbars disappear after loading XUL document</p>",1,49,1,1
pl / Polish,Polish localization bugs,17,50,1,0.25
UI Design,"Achieving consistency throughout the product both internally and externally. Make sure it doesn't fit into another, more applicable component before you file it here.",25,51,1,0.25
XPCOM,"This is the basis of our component technology; this covers the mozilla/xpcom source directory and includes the ""repository"". Unlikely a tester would be able to tell there was an XPCOM problem specifically.",1,53,1,1
User Interface,"Any issues with the Grendel user-interface. This includes issues displaying the main Grendel window, Address Book window, or dialogs.",5,54,1,0.25
CCK-Wizard,The CCK wizard allows the user to gather data by walking through a series of screens to create a set of customizations and build a media image.,3,57,1,0.25
CCK-Installation,"The CCK installation includes verifying the CD-layout. Other areas include the installations screens, directory structure, branding and launching the CCK Wizard.",3,58,1,0.25
DOM Inspector,"The DOM Inspector is a tool used to examine, modify, and debug the DOM of HTML, XUL, or XML documents.",28,59,1,1
pt-BR / Portuguese (Brazil),Brazilian Portuguese translation of Mozilla (<i>Tradução do Mozilla para Português do Brasil</i>),17,60,1,0.25
Testing Suite,"The Bugzilla Test Suite, for finding problems with Bugzilla.",19,61,1,0.25
Tabbed Browser,problems in the browser tab features or problems with the <tabbrowser> widget itself.,25,62,1,0.25
Simple MAPI,"File a bug against this component for problems when using the
simple MAPI feature. This feature allows a non-messaging application to perform messaging operations, such as send, address, and receive messages.",50,63,1,0.25
LDAP C SDK,Bugs and feature requests concerning the LDAP C SDK.,4,65,1,0.25
LDAP Java SDK,Bugs and feature requests concerning the LDAP Java SDK.,4,66,1,0.25
PerLDAP,Bugs and feature requests concerning PerLDAP.,4,67,1,0.25
LDAP Tools,Bugs and feature requests concerning LDAP Tools.,4,68,1,0.25
da / Danish,"Danish translation of Mozilla. (<i>Dansk oversættelse af 
Mozilla</i>)",17,69,1,0.25
Database,"Problems with underlying code in storage of address book content and mail/news summary files.   If the problem you are encountering is with the user interface of the address book or of accessing mail, then this component should not be chosen.",50,70,1,0.25
MIME,"Problems with parsing the MIME structure and displaying messages.  When this problem happens, it's often useful to attach a copy of the mail message generating the problem.   If you have Communicator 4.x, you can select the message and save it as an .eml file (just save with the .eml extension).  A few examples:  1.  The contents of a message do not display properly.  Certain items do not show up.",50,71,1,0.25
Composition,"Problems with the writing a new email or replying to one including using the autocomplete feature.  Generally, problems found are within the compose window before sending a message.   A few examples:  1. User interface and functionality problems with the html compose window and the plain text compose 
window.  2.  Problems with addressing a mail message or adding an attachment.",50,72,1,0.25
