value,product_id,id
"1.0 Branch",1,1
"1.4 Branch",1,2
"1.7 Branch",1,3
"1.8 Branch",1,4
"1.9.0 Branch",1,405
"1.9.1 Branch",1,477
"1.9.2 Branch",1,551
"10 Branch",1,799
"11 Branch",1,807
"12 Branch",1,823
"13 Branch",1,875
"14 Branch",1,897
"15 Branch",1,958
"16 Branch",1,997
"17 Branch",1,1011
"18 Branch",1,1034
"19 Branch",1,1086
"2.0 Branch",1,697
"20 Branch",1,1145
"21 Branch",1,1159
"22 Branch",1,1186
"23 Branch",1,1216
"24 Branch",1,1315
"25 Branch",1,1334
"26 Branch",1,1377
"27 Branch",1,1392
"28 Branch",1,1416
"29 Branch",1,1479
"30 Branch",1,1533
"31 Branch",1,1551
"32 Branch",1,1586
"33 Branch",1,1609
"34 Branch",1,1679
"35 Branch",1,1710
"36 Branch",1,1927
"37 Branch",1,1942
"38 Branch",1,2097
"39 Branch",1,2143
"40 Branch",1,2159
"41 Branch",1,2277
"42 Branch",1,2295
"43 Branch",1,2320
"44 Branch",1,2341
"45 Branch",1,2365
"46 Branch",1,2439
"47 Branch",1,2536
"48 Branch",1,2602
"49 Branch",1,2664
"5 Branch",1,702
"50 Branch",1,2716
"51 Branch",1,2890
"52 Branch",1,2904
"53 Branch",1,2927
"54 Branch",1,3295
"55 Branch",1,3317
"56 Branch",1,3403
"57 Branch",1,3418
"58 Branch",1,3440
"59 Branch",1,3564
"6 Branch",1,754
"60 Branch",1,3591
"61 Branch",1,3884
"62 Branch",1,3910
"63 Branch",1,4260
"7 Branch",1,755
"8 Branch",1,759
"9 Branch",1,785
"Other Branch",1,5
Trunk,1,17
unspecified,1,355
"Lightning 0.3",2,18
"Lightning 0.3.1",2,349
"Lightning 0.5",2,366
"Lightning 0.7",2,381
"Lightning 0.8",2,407
"Lightning 0.9",2,442
"Lightning 1.0",2,792
"Lightning 1.0b1",2,580
"Lightning 1.0b2",2,625
"Lightning 1.0b4",2,752
"Lightning 1.0b5",2,777
"Lightning 1.0b7",2,791
"Lightning 1.1",2,817
"Lightning 1.2",2,819
"Lightning 1.3",2,820
"Lightning 1.4",2,834
"Lightning 1.5",2,890
"Lightning 1.6",2,906
"Lightning 1.7",2,970
"Lightning 1.8",2,1000
"Lightning 1.9",2,1020
"Lightning 1.9.1",2,1185
"Lightning 2.0",2,1047
"Lightning 2.1",2,1096
"Lightning 2.2",2,1154
"Lightning 2.3",2,1168
"Lightning 2.4",2,1169
"Lightning 2.5",2,1227
"Lightning 2.6",2,1325
"Lightning 2.6.1",2,1403
"Lightning 2.6.2",2,1427
"Lightning 2.6.3",2,1428
"Lightning 2.6.4",2,1475
"Lightning 2.6.5",2,1546
"Lightning 2.6.6",2,1629
"Lightning 2.7",2,1346
"Lightning 2.8",2,1386
"Lightning 2.9",2,1402
"Lightning 3.0",2,1426
"Lightning 3.1",2,1489
"Lightning 3.2",2,1547
"Lightning 3.3",2,1575
"Lightning 3.4",2,1596
"Lightning 3.5",2,1628
"Lightning 3.6",2,1689
"Lightning 3.7",2,1720
"Lightning 3.8",2,1938
"Lightning 3.9",2,1954
"Lightning 4.0.0.1",2,2087
"Lightning 4.0.1",2,2307
"Lightning 4.0.1.2",2,2312
"Lightning 4.0.2",2,2308
"Lightning 4.0.2.1",2,2338
"Lightning 4.0.3",2,2339
"Lightning 4.0.4",2,2411
"Lightning 4.0.4.1",2,2412
"Lightning 4.0.5",2,2436
"Lightning 4.0.5.1",2,2530
"Lightning 4.0.5.2",2,2531
"Lightning 4.0.6",2,2532
"Lightning 4.0.7",2,2649
"Lightning 4.0.7.1",2,2650
"Lightning 4.0.7.2",2,2651
"Lightning 4.0.8",2,2707
"Lightning 4.1",2,2154
"Lightning 4.2",2,2173
"Lightning 4.3",2,2288
"Lightning 4.4",2,2313
"Lightning 4.5",2,2331
"Lightning 4.6",2,2340
"Lightning 4.7",2,2386
"Lightning 4.7.1",2,2710
"Lightning 4.7.1.1",2,2711
"Lightning 4.7.2",2,2810
"Lightning 4.7.3",2,2893
"Lightning 4.7.4",2,2901
"Lightning 4.7.5",2,2922
"Lightning 4.7.6",2,2944
"Lightning 4.7.7",2,3292
"Lightning 4.7.8",2,3314
"Lightning 4.8",2,2450
"Lightning 4.9",2,2545
"Lightning 5.0",2,2645
"Lightning 5.1",2,2706
"Lightning 5.2",2,2728
"Lightning 5.3",2,2892
"Lightning 5.4",2,2900
"Lightning 5.4.0.1",2,3400
"Lightning 5.4.1",2,3401
"Lightning 5.4.1.1",2,3402
"Lightning 5.4.2",2,3415
"Lightning 5.4.2.1",2,3417
"Lightning 5.4.3",2,3414
"Lightning 5.4.4",2,3562
"Lightning 5.4.5",2,3582
"Lightning 5.4.6",2,3587
"Lightning 5.4.7",2,3612
"Lightning 5.4.8",2,3902
"Lightning 5.5",2,2943
"Lightning 5.6",2,3312
"Lightning 5.7",2,3331
"Lightning 5.8",2,3413
"Lightning 5.9",2,3497
"Lightning 6.0",2,3498
"Lightning 6.1",2,3570
"Lightning 6.2",2,3613
"Lightning 6.3",2,3901
"Lightning 6.4",2,4113
"Lightning 6.5",2,4259
"Mozilla 1.8 Branch",2,380
"Sunbird 0.2",2,19
"Sunbird 0.3",2,24
"Sunbird 0.3.1",2,348
"Sunbird 0.3a1",2,25
"Sunbird 0.3a2",2,26
"Sunbird 0.5",2,367
"Sunbird 0.7",2,382
"Sunbird 0.8",2,408
"Sunbird 0.9",2,441
"Sunbird 1.0b1",2,624
Trunk,2,27
unspecified,2,28
other,3,29
other,4,30
other,5,31
1998-03-31,7,32
1998-04-08,7,33
1998-04-29,7,34
1998-06-03,7,35
1998-07-28,7,36
1998-09-04,7,37
other,7,38
0.1,8,443
0.2,8,444
0.3,8,445
1.0,8,47
1.1,8,637
1.5,8,48
1.6,8,588
1.7,8,589
1.8,8,590
1.9,8,591
1.x,8,39
2.0,8,40
2.1,8,592
2.10,8,41
2.2,8,42
2.3,8,638
2.4,8,43
2.5,8,639
2.6,8,44
2.7,8,640
2.8,8,45
3.0,8,641
3.1,8,662
3.2,8,663
4.0,8,664
4.1,8,665
4.2,8,666
4.3,8,667
4.4,8,668
4.5,8,669
5.0,8,670
other,8,46
Trunk,8,49
3.0,9,50
3.0.1,9,51
3.1,9,52
3.1.1,9,53
3.1.2,9,54
3.1.3,9,55
3.2.1,9,56
3.4,9,57
3.5,9,58
3.5.1,9,59
4.0,9,60
4.0.1,9,61
4.0.2,9,62
4.1,9,63
4.1.1,9,64
4.1.2,9,65
4.1.3,9,66
4.10,9,895
4.10.1,9,1326
4.10.10,9,2383
4.10.2,9,1327
4.10.3,9,1328
